run_index,user_id,name,email,role,status,horizon_days,version,generation_id,ai_request_id,provider,model,diet_days_count,workout_days_count,review_after_days,usage_input_tokens,usage_output_tokens,usage_total_tokens,duration_ms,started_at,finished_at,error_type,error_message
23,8,"Karim Mansour",dietitian5@hayetak.local,nutritionist,success,21,5,1bea8e20-cb3e-40a6-ad55-41dc2ef43037,224,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1870,2026-04-05T10:45:41+00:00,2026-04-05T10:45:43+00:00,,
24,8,"Karim Mansour",dietitian5@hayetak.local,nutritionist,success,28,6,89cfc2f9-a159-46ba-b3d1-1503f8f8ca6e,225,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2145,2026-04-05T10:45:43+00:00,2026-04-05T10:45:45+00:00,,
25,9,"Tariq Amin",trainer1@hayetak.local,trainer,success,14,4,85528c04-b607-48f2-846f-2d8faa52a647,226,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1679,2026-04-05T10:45:45+00:00,2026-04-05T10:45:47+00:00,,
26,9,"Tariq Amin",trainer1@hayetak.local,trainer,success,21,5,e531548f-53be-484b-b4d2-0f3d682d6fe8,227,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1838,2026-04-05T10:45:47+00:00,2026-04-05T10:45:49+00:00,,
27,9,"Tariq Amin",trainer1@hayetak.local,trainer,success,28,6,95d925ff-bf34-4b9a-b4ec-e1e98756e22f,228,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2151,2026-04-05T10:45:49+00:00,2026-04-05T10:45:51+00:00,,
28,10,"Layla Hassan",trainer2@hayetak.local,trainer,success,14,4,05ceeb74-d1f1-49f2-8870-3ad246519ef9,229,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1752,2026-04-05T10:45:51+00:00,2026-04-05T10:45:53+00:00,,
29,10,"Layla Hassan",trainer2@hayetak.local,trainer,success,21,5,f4417cc3-38d4-4cb3-88ea-34db636bc027,230,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1917,2026-04-05T10:45:53+00:00,2026-04-05T10:45:55+00:00,,
30,10,"Layla Hassan",trainer2@hayetak.local,trainer,success,28,6,7edefa99-21c9-44fb-af88-3893eeb1ee18,231,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2114,2026-04-05T10:45:55+00:00,2026-04-05T10:45:57+00:00,,
31,11,"Hadi Younes",trainer3@hayetak.local,trainer,success,14,4,7020f327-3b9e-46d7-bed2-989150e82f86,232,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1695,2026-04-05T10:45:57+00:00,2026-04-05T10:45:58+00:00,,
32,11,"Hadi Younes",trainer3@hayetak.local,trainer,success,21,5,a2dc08f2-a929-4287-a1f1-cdaced45ea6c,233,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1913,2026-04-05T10:45:58+00:00,2026-04-05T10:46:00+00:00,,
33,11,"Hadi Younes",trainer3@hayetak.local,trainer,success,28,6,241ed55d-b32e-4151-8440-b528de8f4318,234,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2154,2026-04-05T10:46:00+00:00,2026-04-05T10:46:02+00:00,,
34,12,"Sami Rizk",trainer4@hayetak.local,trainer,success,14,4,f2ab6a87-9ebc-46bb-85ae-45d3aec83670,235,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1675,2026-04-05T10:46:02+00:00,2026-04-05T10:46:04+00:00,,
35,12,"Sami Rizk",trainer4@hayetak.local,trainer,success,21,5,b8e429b3-e675-4681-a6dd-e26a225f1343,236,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1886,2026-04-05T10:46:04+00:00,2026-04-05T10:46:06+00:00,,
36,12,"Sami Rizk",trainer4@hayetak.local,trainer,success,28,6,f01834e5-22d9-4410-9682-2205428f7ac9,237,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2082,2026-04-05T10:46:06+00:00,2026-04-05T10:46:08+00:00,,
37,13,"Dina Fares",trainer5@hayetak.local,trainer,success,14,4,036cfbfa-5b2d-493c-b8ec-86dc6b4b0c9a,238,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1724,2026-04-05T10:46:08+00:00,2026-04-05T10:46:10+00:00,,
38,13,"Dina Fares",trainer5@hayetak.local,trainer,success,21,5,f54ec220-e5f2-48e2-8180-7b75ccfdb44d,239,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1857,2026-04-05T10:46:10+00:00,2026-04-05T10:46:12+00:00,,
39,13,"Dina Fares",trainer5@hayetak.local,trainer,success,28,6,bff47a52-d7f3-4a29-80f8-8c70915acea6,240,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2097,2026-04-05T10:46:12+00:00,2026-04-05T10:46:14+00:00,,
40,14,"Hayetak Messages Guide",messages-guide@hayetak.local,admin,success,14,4,e4ba1c36-9d69-412d-bc5b-a69aaca86285,241,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1730,2026-04-05T10:46:14+00:00,2026-04-05T10:46:15+00:00,,
41,14,"Hayetak Messages Guide",messages-guide@hayetak.local,admin,success,21,5,ba91c294-a42a-4d9d-9e31-324c4d32ca89,242,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1863,2026-04-05T10:46:15+00:00,2026-04-05T10:46:17+00:00,,
42,14,"Hayetak Messages Guide",messages-guide@hayetak.local,admin,success,28,6,e5491762-a87c-41dd-8620-f9d96b48d7fb,243,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2137,2026-04-05T10:46:17+00:00,2026-04-05T10:46:19+00:00,,
43,15,"arif khoury",chahiidi8@gmail.com,client,success,14,4,d2e0ed92-027b-48e1-b70d-19cd647045c5,244,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1741,2026-04-05T10:46:19+00:00,2026-04-05T10:46:21+00:00,,
44,15,"arif khoury",chahiidi8@gmail.com,client,success,21,5,8acf4950-6d35-42a2-8c53-c125215b8ff2,245,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1983,2026-04-05T10:46:21+00:00,2026-04-05T10:46:23+00:00,,
45,15,"arif khoury",chahiidi8@gmail.com,client,success,28,6,f538029c-de04-43f0-95f0-f3532ae8c692,246,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2257,2026-04-05T10:46:23+00:00,2026-04-05T10:46:25+00:00,,
46,16,"Chahid Abboud",shahidabboud2015@gmail.com,client,success,14,4,4596bd53-fc32-445f-87ed-853b93b601e1,247,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1725,2026-04-05T10:46:25+00:00,2026-04-05T10:46:27+00:00,,
47,16,"Chahid Abboud",shahidabboud2015@gmail.com,client,success,21,5,52a54359-20ec-4a65-bc50-a8cbd421be59,248,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1924,2026-04-05T10:46:27+00:00,2026-04-05T10:46:29+00:00,,
48,16,"Chahid Abboud",shahidabboud2015@gmail.com,client,success,28,6,f4d3926e-0488-4e06-bee8-2ecf81531ed3,249,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2153,2026-04-05T10:46:29+00:00,2026-04-05T10:46:31+00:00,,
49,17,"Owen Gol",i8chahid8i@gmail.com,client,success,14,4,52008c9d-1fa0-48f0-a6bc-d26d70739770,250,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1721,2026-04-05T10:46:31+00:00,2026-04-05T10:46:33+00:00,,
50,17,"Owen Gol",i8chahid8i@gmail.com,client,success,21,5,ace36dd1-77b0-4109-9fe7-def512362d7b,251,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1964,2026-04-05T10:46:33+00:00,2026-04-05T10:46:35+00:00,,
51,17,"Owen Gol",i8chahid8i@gmail.com,client,success,28,6,868cc7fa-5e0a-4ce7-9e9a-6cb9c96efe56,252,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2202,2026-04-05T10:46:35+00:00,2026-04-05T10:46:37+00:00,,
52,18,"Chahid Abboud",chahid.abboud.cs@gmail.com,client,success,14,4,db226ec6-787f-4a3f-8d79-693d516a93c3,253,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1739,2026-04-05T10:46:37+00:00,2026-04-05T10:46:39+00:00,,
53,18,"Chahid Abboud",chahid.abboud.cs@gmail.com,client,success,21,5,7c26d411-41b1-48b4-8221-676951b50f34,254,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1981,2026-04-05T10:46:39+00:00,2026-04-05T10:46:41+00:00,,
54,18,"Chahid Abboud",chahid.abboud.cs@gmail.com,client,success,28,6,b8133843-2501-49ea-be8e-41918f6831a3,255,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2236,2026-04-05T10:46:41+00:00,2026-04-05T10:46:43+00:00,,
55,19,"Rana Sayegh",rana.sayegh@clients.hayetak.local,client,success,14,4,97fe97a7-e2b6-45b9-bd7a-1e1cae0a8f47,256,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1709,2026-04-05T10:46:43+00:00,2026-04-05T10:46:45+00:00,,
56,19,"Rana Sayegh",rana.sayegh@clients.hayetak.local,client,success,21,5,19219f94-2ad0-4b3e-b8fa-1ff8d285b5eb,257,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,1950,2026-04-05T10:46:45+00:00,2026-04-05T10:46:47+00:00,,
57,19,"Rana Sayegh",rana.sayegh@clients.hayetak.local,client,success,28,6,933a132f-1139-44ca-934a-97bed931d977,258,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2225,2026-04-05T10:46:47+00:00,2026-04-05T10:46:49+00:00,,
58,20,"Youssef Khoury",youssef.khoury@clients.hayetak.local,client,success,14,4,a01da3a6-8a50-496d-b606-a8029f7bb6e3,259,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1814,2026-04-05T10:46:49+00:00,2026-04-05T10:46:51+00:00,,
59,20,"Youssef Khoury",youssef.khoury@clients.hayetak.local,client,success,21,5,664760b0-6dde-44f3-8b13-1e3c9f0b64b3,260,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2028,2026-04-05T10:46:51+00:00,2026-04-05T10:46:53+00:00,,
60,20,"Youssef Khoury",youssef.khoury@clients.hayetak.local,client,success,28,6,180c3431-f3aa-4d62-8f74-51d337dee82b,261,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2318,2026-04-05T10:46:53+00:00,2026-04-05T10:46:55+00:00,,
61,21,"Mira Nader",mira.nader@clients.hayetak.local,client,success,14,4,3795a8b4-f90d-477e-84aa-8a015f1b9751,262,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1798,2026-04-05T10:46:55+00:00,2026-04-05T10:46:57+00:00,,
62,21,"Mira Nader",mira.nader@clients.hayetak.local,client,success,21,5,89a2cedd-41cc-447c-b361-d86391afee70,263,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2071,2026-04-05T10:46:57+00:00,2026-04-05T10:46:59+00:00,,
63,21,"Mira Nader",mira.nader@clients.hayetak.local,client,success,28,6,bb3f1c21-0ec4-4bb7-8f01-6bef9eed7b08,264,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2301,2026-04-05T10:46:59+00:00,2026-04-05T10:47:01+00:00,,
64,22,"Fadi Halabi",fadi.halabi@clients.hayetak.local,client,success,14,4,78de5886-21c1-4204-ab5d-0dc6479ae7e6,265,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1860,2026-04-05T10:47:01+00:00,2026-04-05T10:47:03+00:00,,
65,22,"Fadi Halabi",fadi.halabi@clients.hayetak.local,client,success,21,5,4227b9e3-7d42-4eee-9095-eb690516b040,266,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2171,2026-04-05T10:47:03+00:00,2026-04-05T10:47:05+00:00,,
66,22,"Fadi Halabi",fadi.halabi@clients.hayetak.local,client,success,28,6,fa045cc9-2324-4d1f-b524-66185aa48935,267,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2435,2026-04-05T10:47:05+00:00,2026-04-05T10:47:08+00:00,,
67,23,"Nour Saab",nour.saab@clients.hayetak.local,client,success,14,4,4dc17d78-a873-41ce-9798-3cae9fc802f4,268,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,1739,2026-04-05T10:47:08+00:00,2026-04-05T10:47:10+00:00,,
68,23,"Nour Saab",nour.saab@clients.hayetak.local,client,success,21,5,c2ee2ef1-4d03-46a7-bfa3-33bb720cf5af,269,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,78810,2026-04-05T10:47:10+00:00,2026-04-05T10:48:28+00:00,,
69,23,"Nour Saab",nour.saab@clients.hayetak.local,client,success,28,6,e5af9f86-26cc-4ac0-80f0-4bc1e72f24db,270,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,3046,2026-04-05T10:48:28+00:00,2026-04-05T10:48:31+00:00,,
70,24,"Karim Daher",karim.daher@clients.hayetak.local,client,success,14,4,6cafa9cd-1ff3-4019-9f06-ba24ebea5d6f,271,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2092,2026-04-05T10:48:31+00:00,2026-04-05T10:48:33+00:00,,
71,24,"Karim Daher",karim.daher@clients.hayetak.local,client,success,21,5,d702db96-67e4-4fb6-8edb-c1c2e61cc9e6,272,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2417,2026-04-05T10:48:33+00:00,2026-04-05T10:48:36+00:00,,
72,24,"Karim Daher",karim.daher@clients.hayetak.local,client,success,28,6,a8595ccb-94dc-48b8-a18c-9fbc2ac9d259,273,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2717,2026-04-05T10:48:36+00:00,2026-04-05T10:48:39+00:00,,
73,25,"Salma Tabet",salma.tabet@clients.hayetak.local,client,success,14,4,857805c3-6df1-47a7-9a60-c66bc068e885,274,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2092,2026-04-05T10:48:39+00:00,2026-04-05T10:48:41+00:00,,
74,25,"Salma Tabet",salma.tabet@clients.hayetak.local,client,success,21,5,918469d6-c4db-4ca9-91ed-fd0777f73e46,275,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2463,2026-04-05T10:48:41+00:00,2026-04-05T10:48:43+00:00,,
75,25,"Salma Tabet",salma.tabet@clients.hayetak.local,client,success,28,6,0161bbc5-4ae7-41ef-97fa-1a3f2f0609b8,276,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2850,2026-04-05T10:48:43+00:00,2026-04-05T10:48:46+00:00,,
76,26,"Jad Makki",jad.makki@clients.hayetak.local,client,success,14,4,27c33d58-97da-48d0-ba2d-e777a070f59f,277,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2035,2026-04-05T10:48:46+00:00,2026-04-05T10:48:48+00:00,,
77,26,"Jad Makki",jad.makki@clients.hayetak.local,client,success,21,5,7a6c2d65-eeeb-4f84-ada8-7e707b779ab1,278,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2281,2026-04-05T10:48:48+00:00,2026-04-05T10:48:50+00:00,,
78,26,"Jad Makki",jad.makki@clients.hayetak.local,client,success,28,6,9c378fcd-9b16-42b9-9333-d1e28574011c,279,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2600,2026-04-05T10:48:50+00:00,2026-04-05T10:48:53+00:00,,
79,27,"Leen Farah",leen.farah@clients.hayetak.local,client,success,14,4,b0c6bef2-03ee-461f-af14-8bfb98f70aa8,280,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2313,2026-04-05T10:48:53+00:00,2026-04-05T10:48:55+00:00,,
80,27,"Leen Farah",leen.farah@clients.hayetak.local,client,success,21,5,f08d04d9-a819-4241-8bda-ccc11f808687,281,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2777,2026-04-05T10:48:55+00:00,2026-04-05T10:48:58+00:00,,
81,27,"Leen Farah",leen.farah@clients.hayetak.local,client,success,28,6,f53600eb-34d1-49aa-afd8-17b7d9c1aec3,282,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,3193,2026-04-05T10:48:58+00:00,2026-04-05T10:49:01+00:00,,
82,28,"Omar Chami",omar.chami@clients.hayetak.local,client,success,14,4,c042ec5e-95fb-4366-b331-395b09bfa495,283,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2090,2026-04-05T10:49:01+00:00,2026-04-05T10:49:03+00:00,,
83,28,"Omar Chami",omar.chami@clients.hayetak.local,client,success,21,5,dea1fff8-4949-40ef-9f3d-689a6eada237,284,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2341,2026-04-05T10:49:03+00:00,2026-04-05T10:49:06+00:00,,
84,28,"Omar Chami",omar.chami@clients.hayetak.local,client,success,28,6,d274b8d4-c01a-4410-982b-928dbd74451e,285,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2849,2026-04-05T10:49:06+00:00,2026-04-05T10:49:08+00:00,,
85,29,"Tala Azar",tala.azar@clients.hayetak.local,client,success,14,4,26789d5d-ac12-458f-9557-f05037f9b28b,286,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2085,2026-04-05T10:49:08+00:00,2026-04-05T10:49:11+00:00,,
86,29,"Tala Azar",tala.azar@clients.hayetak.local,client,success,21,5,e0d4e647-d989-41cc-b81e-23af345a3da3,287,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2483,2026-04-05T10:49:11+00:00,2026-04-05T10:49:13+00:00,,
87,29,"Tala Azar",tala.azar@clients.hayetak.local,client,success,28,6,f6051127-e88a-42a8-b413-a22c1b30df26,288,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2862,2026-04-05T10:49:13+00:00,2026-04-05T10:49:16+00:00,,
88,30,"Ziad Barakat",ziad.barakat@clients.hayetak.local,client,success,14,4,c53490d4-d24f-4035-ab84-f8c056120949,289,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2036,2026-04-05T10:49:16+00:00,2026-04-05T10:49:18+00:00,,
89,30,"Ziad Barakat",ziad.barakat@clients.hayetak.local,client,success,21,5,122b28c4-72f9-45d5-86fe-49e2e8ca2479,290,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2299,2026-04-05T10:49:18+00:00,2026-04-05T10:49:20+00:00,,
90,30,"Ziad Barakat",ziad.barakat@clients.hayetak.local,client,success,28,6,d0bab291-b42f-406b-b964-e2b845e7677d,291,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2646,2026-04-05T10:49:20+00:00,2026-04-05T10:49:23+00:00,,
91,31,"Dalia Ghanem",dalia.ghanem@clients.hayetak.local,client,success,14,4,dfb52844-34cf-4f2c-8c4d-33a25f49b798,292,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2146,2026-04-05T10:49:23+00:00,2026-04-05T10:49:25+00:00,,
92,31,"Dalia Ghanem",dalia.ghanem@clients.hayetak.local,client,success,21,5,7775b1d8-f37d-4086-bb1b-003986a1de3c,293,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2499,2026-04-05T10:49:25+00:00,2026-04-05T10:49:28+00:00,,
93,31,"Dalia Ghanem",dalia.ghanem@clients.hayetak.local,client,success,28,6,37dc9ddb-c254-47e2-8b3f-19204fc3c217,294,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2860,2026-04-05T10:49:28+00:00,2026-04-05T10:49:30+00:00,,
94,32,"Sami Moukarzel",sami.moukarzel@clients.hayetak.local,client,success,14,4,01fadba6-ca2c-4380-bb4a-a86839d19931,295,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2107,2026-04-05T10:49:30+00:00,2026-04-05T10:49:33+00:00,,
95,32,"Sami Moukarzel",sami.moukarzel@clients.hayetak.local,client,success,21,5,76ba2f68-2fff-416e-8375-ad7862bc301e,296,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2511,2026-04-05T10:49:33+00:00,2026-04-05T10:49:35+00:00,,
96,32,"Sami Moukarzel",sami.moukarzel@clients.hayetak.local,client,success,28,6,4e0b37f4-d187-4e51-b8a9-655b6dec8b78,297,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2857,2026-04-05T10:49:35+00:00,2026-04-05T10:49:38+00:00,,
97,33,"Hiba Antoun",hiba.antoun@clients.hayetak.local,client,success,14,3,0f9b3e89-cb23-43f2-b67e-b04449e97a15,298,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2240,2026-04-05T10:49:38+00:00,2026-04-05T10:49:40+00:00,,
98,33,"Hiba Antoun",hiba.antoun@clients.hayetak.local,client,success,21,4,ae829d4e-4305-4a79-8644-b147330b4f68,299,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,2633,2026-04-05T10:49:40+00:00,2026-04-05T10:49:43+00:00,,
99,33,"Hiba Antoun",hiba.antoun@clients.hayetak.local,client,success,28,5,4d392648-1f5a-4ee0-b0f3-112f61023b5d,300,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,2977,2026-04-05T10:49:43+00:00,2026-04-05T10:49:46+00:00,,
100,34,"Rami Karam",rami.karam@clients.hayetak.local,client,success,14,3,94a3c439-2279-45e9-bc35-bf9470877291,301,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,2047,2026-04-05T10:49:46+00:00,2026-04-05T10:49:48+00:00,,
