run_index,user_id,name,email,role,status,horizon_days,version,generation_id,ai_request_id,provider,model,diet_days_count,workout_days_count,review_after_days,usage_input_tokens,usage_output_tokens,usage_total_tokens,duration_ms,started_at,finished_at,error_type,error_message
24,8,"Karim Mansour",dietitian5@hayetak.local,nutritionist,success,28,3,1e1d4774-75d3-4366-ab04-4f9f042fac2a,182,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46137,2026-04-05T10:31:04+00:00,2026-04-05T10:31:50+00:00,,
25,9,"Tariq Amin",trainer1@hayetak.local,trainer,success,14,1,a2748248-9f9e-4af7-afc1-ee5c27f9a4bc,183,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45694,2026-04-05T10:31:50+00:00,2026-04-05T10:32:36+00:00,,
26,9,"Tariq Amin",trainer1@hayetak.local,trainer,success,21,2,2cdea747-8c97-4651-b589-905dc93527f2,184,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45908,2026-04-05T10:32:36+00:00,2026-04-05T10:33:22+00:00,,
27,9,"Tariq Amin",trainer1@hayetak.local,trainer,success,28,3,d6727399-a9e9-4180-9ac7-cf395607fc3a,185,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46175,2026-04-05T10:33:22+00:00,2026-04-05T10:34:08+00:00,,
28,10,"Layla Hassan",trainer2@hayetak.local,trainer,success,14,1,5e7b291a-3afb-4a1b-bda0-a41987965a01,186,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45779,2026-04-05T10:34:08+00:00,2026-04-05T10:34:54+00:00,,
29,10,"Layla Hassan",trainer2@hayetak.local,trainer,success,21,2,4c6f999b-f901-455f-b37c-fad8fc84fdc6,187,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45852,2026-04-05T10:34:54+00:00,2026-04-05T10:35:40+00:00,,
30,10,"Layla Hassan",trainer2@hayetak.local,trainer,success,28,3,891da518-c6a3-43bb-9e80-4f912e2d1db0,188,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46075,2026-04-05T10:35:40+00:00,2026-04-05T10:36:26+00:00,,
31,11,"Hadi Younes",trainer3@hayetak.local,trainer,success,14,1,4a14f9be-698a-4567-9f3d-ea772aaa2a9b,189,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45739,2026-04-05T10:36:26+00:00,2026-04-05T10:37:11+00:00,,
32,11,"Hadi Younes",trainer3@hayetak.local,trainer,success,21,2,2bfb7a06-39b3-4ced-97a2-e7dbc22317d0,190,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45939,2026-04-05T10:37:11+00:00,2026-04-05T10:37:57+00:00,,
33,11,"Hadi Younes",trainer3@hayetak.local,trainer,success,28,3,a7e8ee67-a4c1-4d5a-b8a8-c0bc055db96f,191,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46131,2026-04-05T10:37:57+00:00,2026-04-05T10:38:44+00:00,,
34,12,"Sami Rizk",trainer4@hayetak.local,trainer,success,14,1,1adcdedd-6824-4b48-9b54-5accd54a8fd6,192,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45671,2026-04-05T10:38:44+00:00,2026-04-05T10:39:29+00:00,,
35,12,"Sami Rizk",trainer4@hayetak.local,trainer,success,21,2,cf14c956-0f1e-46bc-bdbd-42aabdb62f20,193,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45885,2026-04-05T10:39:29+00:00,2026-04-05T10:40:15+00:00,,
36,12,"Sami Rizk",trainer4@hayetak.local,trainer,success,28,3,6028fdf1-f511-4b7d-b634-d3d6ef79585d,194,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46077,2026-04-05T10:40:15+00:00,2026-04-05T10:41:01+00:00,,
37,13,"Dina Fares",trainer5@hayetak.local,trainer,success,14,1,877ce223-c2a8-45ee-8e11-f6b713a09cb8,195,local_fallback,hayetak-local-fallback-v1,14,7,14,0,0,0,45674,2026-04-05T10:41:01+00:00,2026-04-05T10:41:47+00:00,,
38,13,"Dina Fares",trainer5@hayetak.local,trainer,success,21,2,d5703c0a-b321-40ea-b47c-acc6419f7678,196,local_fallback,hayetak-local-fallback-v1,21,7,21,0,0,0,45927,2026-04-05T10:41:47+00:00,2026-04-05T10:42:33+00:00,,
39,13,"Dina Fares",trainer5@hayetak.local,trainer,success,28,3,cca0303b-61ea-4af9-b07f-5f39c2e26caf,197,local_fallback,hayetak-local-fallback-v1,28,7,28,0,0,0,46108,2026-04-05T10:42:33+00:00,2026-04-05T10:43:19+00:00,,
